Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_fails	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length
Sample_IPO3916_D12_R1	47.65180736001796	25.0	5.425860623741815	11048473.0	37.0	126.0
Sample_IPO3916_D12_R2	47.15596425648359	25.0	6.210742770473694	11048473.0	37.0	126.0
Sample_IPO3916_D1_R1	54.043765793012895	33.33333333333333	11.639078563417847	14953665.0	38.0	126.0
Sample_IPO3916_D1_R2	54.15911603925382	41.66666666666667	12.14709549969167	14953665.0	38.0	126.0
Sample_IPO3916_D2_R1	44.35971990861481	25.0	12.49600355909407	26694933.0	39.0	126.0
Sample_IPO3916_D2_R2	44.044104835243516	33.33333333333333	13.280604273097119	26694933.0	39.0	126.0
Sample_IPO3916_D3_R1	39.59696215150513	25.0	9.711377987675203	3794204.0	38.0	126.0
Sample_IPO3916_D3_R2	38.90793681390572	33.33333333333333	10.532336096327912	3794204.0	38.0	126.0
Sample_IPO3916_D4_R1	70.87770133648571	33.33333333333333	9.350794448806893	8942844.0	38.0	126.0
Sample_IPO3916_D4_R2	70.51131960465288	50.0	9.899539042986028	8942844.0	38.0	126.0
Sample_IPO3916_D5_R1	57.02357927623222	33.33333333333333	6.977421854238175	5704043.0	37.0	126.0
Sample_IPO3916_D5_R2	56.36553738589339	41.66666666666667	7.858948774760595	5704043.0	37.0	126.0
Sample_IPO3916_D6_R1	59.38066799213067	33.33333333333333	5.339899773531998	9865895.0	37.0	126.0
Sample_IPO3916_D6_R2	58.67955764712469	41.66666666666667	6.3137976918835115	9865895.0	37.0	126.0
Sample_IPO3916_D7_R1	48.2855612612337	16.666666666666664	4.8047953427927315	4946511.0	38.0	126.0
Sample_IPO3916_D7_R2	47.82533209329433	16.666666666666664	5.4425897685722635	4946511.0	38.0	126.0
Sample_IPO3916_D8_R1	49.068948783988965	16.666666666666664	4.934958007767853	5556364.0	36.0	126.0
Sample_IPO3916_D8_R2	49.13686866115145	16.666666666666664	5.328404896233786	5556364.0	36.0	126.0
Sample_IPO3916_D9_R1	50.100836420419206	25.0	4.914957503366964	4691240.0	35.0	126.0
Sample_IPO3916_D9_R2	49.7032923370309	25.0	5.390459935931922	4691240.0	35.0	126.0
Sample_IPO3916_E10_R1	53.17972109408876	25.0	4.539998520019471	8300195.0	36.0	126.0
Sample_IPO3916_E10_R2	53.00246261690388	25.0	5.171344750487168	8300195.0	36.0	126.0
Sample_IPO3916_E11_R1	51.37209882884804	33.33333333333333	6.8767391555496955	11543215.0	38.0	126.0
Sample_IPO3916_E11_R2	50.80089219423995	41.66666666666667	7.854975741985556	11543215.0	38.0	126.0
Sample_IPO3916_E12_R1	37.50722755263466	25.0	6.146875058901572	6937522.0	37.0	126.0
Sample_IPO3916_E12_R2	37.20642036187583	25.0	6.716965857938673	6937522.0	37.0	126.0
Sample_IPO3916_E1_R1	53.15836372997057	25.0	8.655728168455473	10043760.0	38.0	126.0
Sample_IPO3916_E1_R2	52.53643840188565	41.66666666666667	9.493860659405236	10043760.0	38.0	126.0
Sample_IPO3916_E2_R1	38.69559624365897	41.66666666666667	13.785506449996934	3761327.0	39.0	126.0
Sample_IPO3916_E2_R2	38.07593991002679	41.66666666666667	14.66287221048772	3761327.0	39.0	126.0
Sample_IPO3916_E3_R1	51.14862925829684	33.33333333333333	9.421258998407179	6941557.0	37.0	126.0
Sample_IPO3916_E3_R2	50.94529367668432	41.66666666666667	9.896460354758112	6941557.0	37.0	126.0
Sample_IPO3916_E4_R1	66.80773644210106	41.66666666666667	12.203568821914855	4727518.0	40.0	126.0
Sample_IPO3916_E4_R2	66.14866790547589	50.0	13.05122594045238	4727518.0	40.0	126.0
Sample_IPO3916_E5_R1	62.05447324623067	33.33333333333333	7.554249710657916	4790452.0	38.0	126.0
Sample_IPO3916_E5_R2	61.30652148764071	41.66666666666667	8.441467080171737	4790452.0	38.0	126.0
Sample_IPO3916_E6_R1	44.823667318155024	16.666666666666664	4.470744002575921	2637023.0	36.0	126.0
Sample_IPO3916_E6_R2	44.033270853334564	25.0	5.441077317773122	2637023.0	36.0	126.0
Sample_IPO3916_E7_R1	48.399522841079104	16.666666666666664	5.335759829975074	5699549.0	37.0	126.0
Sample_IPO3916_E7_R2	48.19786321138343	16.666666666666664	5.902852597468259	5699549.0	37.0	126.0
Sample_IPO3916_E8_R1	50.80393331511774	33.33333333333333	5.654322351848367	3309640.0	36.0	126.0
Sample_IPO3916_E8_R2	50.34562884334959	33.33333333333333	6.3214140395646545	3309640.0	36.0	126.0
Sample_IPO3916_E9_R1	47.18875894122693	16.666666666666664	4.500769441229449	3862110.0	38.0	126.0
Sample_IPO3916_E9_R2	46.89534177740816	16.666666666666664	5.066614832183395	3862110.0	38.0	126.0
Sample_IPO3916_F10_R1	49.63885222645496	16.666666666666664	4.109175791809199	7747772.0	37.0	126.0
Sample_IPO3916_F10_R2	49.28674287916252	16.666666666666664	4.761421673715944	7747772.0	37.0	126.0
Sample_IPO3916_F11_R1	68.5596755621853	50.0	6.713714207092229	7654058.0	37.0	126.0
Sample_IPO3916_F11_R2	67.76330898906497	58.333333333333336	7.646495887001772	7654058.0	37.0	126.0
Sample_IPO3916_F12_R1	57.666569159464984	25.0	4.156987403364215	9791100.0	36.0	126.0
Sample_IPO3916_F12_R2	57.12795346579692	25.0	4.882354123675324	9791100.0	36.0	126.0
Sample_IPO3916_F1_R1	74.38675609918286	25.0	4.266240919578646	15833217.0	33.0	126.0
Sample_IPO3916_F1_R2	74.19095862070364	25.0	4.6822014695283904	15833217.0	34.0	126.0
Sample_IPO3916_F2_R1	36.570600596199064	25.0	13.01591563736269	4763228.0	39.0	126.0
Sample_IPO3916_F2_R2	36.04353672415234	33.33333333333333	13.758714395110552	4763228.0	39.0	126.0
Sample_IPO3916_F3_R1	42.585187984633436	25.0	8.172521436345749	4020869.0	36.0	126.0
Sample_IPO3916_F3_R2	42.02024021903171	33.33333333333333	8.847749791685047	4020869.0	36.0	126.0
Sample_IPO3916_F4_R1	70.96713082917464	33.33333333333333	6.0209546104922715	4972483.0	37.0	126.0
Sample_IPO3916_F4_R2	70.65670458236889	33.33333333333333	6.670451751470631	4972483.0	37.0	126.0
Sample_IPO3916_F5_R1	6.875241405948245	41.66666666666667	8.499022114317595	2589.0	38.0	126.0
Sample_IPO3916_F5_R2	5.832367709540364	41.66666666666667	17.824189029287524	2589.0	38.0	126.0
Sample_IPO3916_F6_R1	54.70733161309534	41.66666666666667	7.001534754122838	4728786.0	36.0	126.0
Sample_IPO3916_F6_R2	54.178428516042906	41.66666666666667	7.464596823028352	4728786.0	36.0	126.0
Sample_IPO3916_F7_R1	62.52375391860665	33.33333333333333	5.843209913917117	8480013.0	36.0	126.0
Sample_IPO3916_F7_R2	62.760681593183406	33.33333333333333	6.259637659772306	8480013.0	36.0	126.0
Sample_IPO3916_F8_R1	48.97904585389933	16.666666666666664	4.724253836082654	7812852.0	36.0	126.0
Sample_IPO3916_F8_R2	48.26806041578261	25.0	5.8046353806340045	7812852.0	36.0	126.0
Sample_IPO3916_F9_R1	59.47710541144385	41.66666666666667	6.705053100322295	7222703.0	36.0	126.0
Sample_IPO3916_F9_R2	59.227606988271546	50.0	7.208840772355705	7222703.0	36.0	126.0
Sample_IPO3916_G10_R1	59.88660183581928	41.66666666666667	16.704583642014363	146898375.0	39.0	126.0
Sample_IPO3916_G10_R2	60.23729879318384	41.66666666666667	17.247695401559934	146898375.0	39.0	126.0
Sample_IPO3916_G11_R1	90.93145526681032	33.33333333333333	2.4454187399969194	11730543.0	38.0	126.0
Sample_IPO3916_G11_R2	90.24995906090453	41.66666666666667	3.399417257791077	11730543.0	38.0	126.0
Sample_IPO3916_G12_R1	58.64057633553635	41.66666666666667	18.50330009485404	66406439.0	39.0	126.0
Sample_IPO3916_G12_R2	59.02150354108021	41.66666666666667	18.91757454902017	66406439.0	39.0	126.0
Sample_IPO3916_G1_R1	52.035639817460925	33.33333333333333	12.691073928351711	24735666.0	38.0	126.0
Sample_IPO3916_G1_R2	51.64070819040493	41.66666666666667	13.394119321661357	24735666.0	39.0	126.0
Sample_IPO3916_G2_R1	42.350069854840164	16.666666666666664	12.845249913751722	11740055.0	38.0	126.0
Sample_IPO3916_G2_R2	42.01777636003754	33.33333333333333	13.332734515122501	11740055.0	39.0	126.0
Sample_IPO3916_G3_R1	70.64735558297893	33.33333333333333	5.545791435005972	5270511.0	37.0	126.0
Sample_IPO3916_G3_R2	69.92103865874806	41.66666666666667	6.350185893393373	5270511.0	37.0	126.0
Sample_IPO3916_G4_R1	72.82950586547892	33.33333333333333	6.1906083131948755	8550252.0	38.0	126.0
Sample_IPO3916_G4_R2	71.77311022517253	41.66666666666667	7.414463822467937	8550252.0	37.0	126.0
Sample_IPO3916_G5_R1	55.78331390644676	41.66666666666667	16.52808410707435	47735421.0	40.0	126.0
Sample_IPO3916_G5_R2	56.375705741881646	41.66666666666667	16.800271125279593	47735421.0	40.0	126.0
Sample_IPO3916_G6_R1	48.35090183778262	33.33333333333333	7.49225950414159	5399894.0	38.0	126.0
Sample_IPO3916_G6_R2	47.66263856474181	41.66666666666667	8.41114320874294	5399894.0	38.0	126.0
Sample_IPO3916_G7_R1	52.996339722491626	33.33333333333333	6.674427283690198	10848896.0	39.0	126.0
Sample_IPO3916_G7_R2	52.76754094672494	41.66666666666667	7.351553456581102	10848896.0	39.0	126.0
Sample_IPO3916_G8_R1	39.72335172255186	16.666666666666664	4.7474156939151095	4595090.0	36.0	126.0
Sample_IPO3916_G8_R2	39.04314124693498	16.666666666666664	5.601238202253634	4595090.0	36.0	126.0
Sample_IPO3916_G9_R1	65.10103276213115	25.0	4.835333147384149	9151331.0	37.0	126.0
Sample_IPO3916_G9_R2	65.02316062125365	25.0	5.263555789845354	9151331.0	37.0	126.0
Sample_IPO3916_H10_R1	69.74375988237196	33.33333333333333	6.318971699974973	10387063.0	36.0	126.0
Sample_IPO3916_H10_R2	69.31379333247295	41.66666666666667	6.984364810494295	10387063.0	36.0	126.0
Sample_IPO3916_H11_R1	65.3466240613663	41.66666666666667	18.284024450465303	218441526.0	42.0	126.0
Sample_IPO3916_H11_R2	66.13212181811646	41.66666666666667	18.77058704023212	218441526.0	42.0	126.0
Sample_IPO3916_H12_R1	74.46778025841232	41.66666666666667	20.08176948435857	258893078.0	40.0	126.0
Sample_IPO3916_H12_R2	75.4158845337097	41.66666666666667	20.385287295357983	258893078.0	40.0	126.0
Sample_IPO3916_H1_R1	56.25531826623946	33.33333333333333	10.666987031317412	5902401.0	39.0	126.0
Sample_IPO3916_H1_R2	55.63510188887206	41.66666666666667	11.423250026718344	5902401.0	39.0	126.0
Sample_IPO3916_H2_R1	77.29066982814477	33.33333333333333	7.118378191995046	2838331.0	39.0	126.0
Sample_IPO3916_H2_R2	76.9734708275293	50.0	8.18312503380242	2838331.0	39.0	126.0
Sample_IPO3916_H3_R1	53.78517971803352	33.33333333333333	6.917211354689255	6354657.0	37.0	126.0
Sample_IPO3916_H3_R2	53.02388528367975	41.66666666666667	7.7635867604468585	6354657.0	37.0	126.0
Sample_IPO3916_H4_R1	62.39646582555584	33.33333333333333	5.554809623772882	6349787.0	37.0	126.0
Sample_IPO3916_H4_R2	62.15448758469949	41.66666666666667	6.189714685117759	6349787.0	37.0	126.0
Sample_IPO3916_H5_R1	67.70005011048445	33.33333333333333	8.909080918164447	4357778.0	40.0	126.0
Sample_IPO3916_H5_R2	66.61938136152703	41.66666666666667	10.057723498185588	4357778.0	40.0	126.0
Sample_IPO3916_H6_R1	49.66660105277894	41.66666666666667	10.241489358989456	6087978.0	37.0	126.0
Sample_IPO3916_H6_R2	49.14582226937464	50.0	10.881801911064828	6087978.0	37.0	126.0
Sample_IPO3916_H7_R1	55.389681737406455	33.33333333333333	6.066591463292694	7767382.0	39.0	126.0
Sample_IPO3916_H7_R2	55.156155264321704	41.66666666666667	6.636671902195086	7767382.0	39.0	126.0
Sample_IPO3916_H8_R1	36.61841463024768	16.666666666666664	3.779901669367045	4249492.0	37.0	126.0
Sample_IPO3916_H8_R2	36.309843634030806	16.666666666666664	4.37436488206792	4249492.0	37.0	126.0
Sample_IPO3916_H9_R1	49.33948554484762	25.0	5.681887559187062	3710857.0	37.0	126.0
Sample_IPO3916_H9_R2	48.544259875815186	33.33333333333333	6.670366920034315	3710857.0	38.0	126.0
Sample_IPO3917_A10_R1	48.13440798236886	16.666666666666664	3.4016017211121574	3488656.0	38.0	126.0
Sample_IPO3917_A10_R2	47.52749677258446	16.666666666666664	4.738074463278095	3488656.0	38.0	126.0
Sample_IPO3917_A11_R1	46.78037567147446	16.666666666666664	3.9289243525562707	8264179.0	37.0	126.0
Sample_IPO3917_A11_R2	46.70633539414448	16.666666666666664	4.7607132551142115	8264179.0	37.0	126.0
Sample_IPO3917_A12_R1	64.5151934111243	25.0	3.5416130436916946	9080892.0	37.0	126.0
Sample_IPO3917_A12_R2	64.63950814369245	25.0	4.237981508969866	9080892.0	37.0	126.0
Sample_IPO3917_A1_R1	58.908144792772234	33.33333333333333	7.455529204495182	9506560.0	39.0	126.0
Sample_IPO3917_A1_R2	58.9259331106609	41.66666666666667	8.12210943126858	9506560.0	39.0	126.0
Sample_IPO3917_A2_R1	71.88633272942087	25.0	4.31057604769726	13518101.0	38.0	126.0
Sample_IPO3917_A2_R2	72.53508945068995	25.0	4.845366165436197	13518101.0	38.0	126.0
Sample_IPO3917_A3_R1	38.465362939556734	16.666666666666664	3.921094180035086	4325736.0	36.0	126.0
Sample_IPO3917_A3_R2	38.66538681299995	16.666666666666664	4.535508936679049	4325736.0	36.0	126.0
Sample_IPO3917_A4_R1	56.62799957400078	25.0	4.474653194976342	5661820.0	37.0	126.0
Sample_IPO3917_A4_R2	56.43472393876482	33.33333333333333	5.003860725024591	5661820.0	37.0	126.0
Sample_IPO3917_A5_R1	58.17798358071758	50.0	16.788445175835133	31007856.0	38.0	126.0
Sample_IPO3917_A5_R2	59.28729784427287	58.333333333333336	17.021194487585586	31007856.0	39.0	126.0
Sample_IPO3917_A6_R1	71.77123516892412	25.0	2.9075124410963986	12194349.0	35.0	126.0
Sample_IPO3917_A6_R2	71.84224590420547	33.33333333333333	3.7985156400579805	12194349.0	35.0	126.0
Sample_IPO3917_A7_R1	48.96661813382755	33.33333333333333	15.283160663468085	31364100.0	40.0	126.0
Sample_IPO3917_A7_R2	49.8680809525252	33.33333333333333	15.789260018898363	31364100.0	40.0	126.0
Sample_IPO3917_A8_R1	64.49153252170477	33.33333333333333	4.241268395074081	9158127.0	37.0	126.0
Sample_IPO3917_A8_R2	64.19513417533727	41.66666666666667	5.12017592992229	9158127.0	37.0	126.0
Sample_IPO3917_A9_R1	56.574452103734004	25.0	4.069120734688463	14423010.0	37.0	126.0
Sample_IPO3917_A9_R2	57.15786128226406	33.33333333333333	4.772761421803473	14423010.0	37.0	126.0
Sample_IPO3917_B10_R1	54.96472890658066	25.0	4.022917525764834	9432418.0	39.0	126.0
Sample_IPO3917_B10_R2	55.679862128701515	25.0	4.793554896746889	9432418.0	39.0	126.0
Sample_IPO3917_B11_R1	58.92320731278209	25.0	3.36518308936989	11490168.0	38.0	126.0
Sample_IPO3917_B11_R2	59.06850234314989	25.0	4.16809203988817	11490168.0	38.0	126.0
Sample_IPO3917_B12_R1	49.11623507493903	25.0	5.380944809412361	11609892.0	37.0	126.0
Sample_IPO3917_B12_R2	49.70715361775938	33.33333333333333	5.9338190581530315	11609892.0	37.0	126.0
Sample_IPO3917_B1_R1	54.747546356614244	50.0	8.069803827145346	5348109.0	38.0	126.0
Sample_IPO3917_B1_R2	54.40653282131968	58.333333333333336	8.789858811006471	5348109.0	38.0	126.0
Sample_IPO3917_B2_R1	42.206357862036946	16.666666666666664	4.1373796556397915	3564185.0	37.0	126.0
Sample_IPO3917_B2_R2	41.59194256644631	25.0	5.430281029316994	3564185.0	37.0	126.0
Sample_IPO3917_B3_R1	52.33526909006987	41.66666666666667	3.9447464925382416	9450219.0	37.0	126.0
Sample_IPO3917_B3_R2	52.605876471637494	50.0	4.62233161281723	9450219.0	37.0	126.0
Sample_IPO3917_B4_R1	64.02640458379476	25.0	3.0654832056816463	8981341.0	34.0	126.0
Sample_IPO3917_B4_R2	63.93852479961544	25.0	3.930352815786516	8981341.0	34.0	126.0
Sample_IPO3917_B5_R1	79.42805419420796	25.0	4.455755040465079	8307451.0	38.0	126.0
Sample_IPO3917_B5_R2	79.13495869964859	33.33333333333333	5.44730486571251	8307451.0	38.0	126.0
Sample_IPO3917_B6_R1	63.04853430571345	25.0	4.05954855954684	9598997.0	36.0	126.0
Sample_IPO3917_B6_R2	63.13570405960285	33.33333333333333	4.863131029078367	9598997.0	36.0	126.0
Sample_IPO3917_B7_R1	66.25437697219806	33.33333333333333	4.561975162858475	10737093.0	37.0	126.0
Sample_IPO3917_B7_R2	66.9135003336101	33.33333333333333	5.0124306576262425	10737093.0	36.0	126.0
Sample_IPO3917_B8_R1	63.28751473159438	33.33333333333333	4.039819663806798	7784223.0	37.0	126.0
Sample_IPO3917_B8_R2	63.66274141747154	41.66666666666667	4.260136073484689	7784223.0	37.0	126.0
Sample_IPO3917_B9_R1	55.148628467567164	25.0	3.107294880123998	9922372.0	38.0	126.0
Sample_IPO3917_B9_R2	55.63654064849185	25.0	3.6862360689113	9922372.0	38.0	126.0
Sample_IPO3917_C10_R1	53.33024084332405	41.66666666666667	4.407629660127956	17049422.0	37.0	126.0
Sample_IPO3917_C10_R2	53.63775946416345	50.0	5.029303064787786	17049422.0	37.0	126.0
Sample_IPO3917_C11_R1	58.32532506780432	25.0	3.841670564734636	13523081.0	38.0	126.0
Sample_IPO3917_C11_R2	58.297791356674914	25.0	4.704429658694888	13523081.0	38.0	126.0
Sample_IPO3917_C12_R1	46.849463299098595	16.666666666666664	4.677644863864363	7975051.0	38.0	126.0
Sample_IPO3917_C12_R2	47.09297282630828	16.666666666666664	5.398819233903172	7975051.0	38.0	126.0
Sample_IPO3917_C1_R1	55.011764509981674	33.33333333333333	6.838417434393773	6061197.0	37.0	126.0
Sample_IPO3917_C1_R2	55.40574660558824	50.0	7.12352207574191	6061197.0	37.0	126.0
Sample_IPO3917_C2_R1	57.11920679737879	33.33333333333333	5.915344466443657	8909554.0	35.0	126.0
Sample_IPO3917_C2_R2	56.472648178398686	41.66666666666667	6.797719438335344	8909554.0	35.0	126.0
Sample_IPO3917_C3_R1	62.27701008871896	25.0	3.4526237917020786	13018439.0	38.0	126.0
Sample_IPO3917_C3_R2	62.70811864250426	25.0	4.2897080959248015	13018439.0	38.0	126.0
Sample_IPO3917_C4_R1	60.75172489954421	25.0	3.370834762844293	9216855.0	35.0	126.0
Sample_IPO3917_C4_R2	59.90277873578382	33.33333333333333	4.860511375239013	9216855.0	35.0	126.0
Sample_IPO3917_C5_R1	58.50976548662555	41.66666666666667	12.57765254123579	32574295.0	39.0	126.0
