Sample_IPO3916_A4_R2	14477.0	3741.0	3260.0	2766.0	2390.0	2152.0	2120.0	2197.0	2361.0	2387.0	2627.0	2726.0	2994.0	3133.0	3740.0	4188.0	4789.0	5731.0	6927.0	8511.0	11203.0	15290.0	20022.0	25326.0	31495.0	38860.0	47030.0	58488.0	72597.0	93483.0	125539.0	181054.0	297653.0	652431.0	2162576.0
Sample_IPO3916_A5_R1	440.0	263.0	365.0	606.0	1081.0	1692.0	2216.0	2812.0	3486.0	4197.0	4968.0	5733.0	6589.0	7398.0	7828.0	8626.0	9552.0	10527.0	12073.0	14025.0	16563.0	20498.0	27390.0	36364.0	49163.0	65492.0	85734.0	112361.0	145575.0	193646.0	263840.0	381218.0	620925.0	1389060.0	4653389.0
Sample_IPO3916_A5_R2	31752.0	7717.0	6545.0	5847.0	5193.0	5014.0	5036.0	5577.0	6070.0	6613.0	7204.0	7875.0	8708.0	9482.0	10593.0	11663.0	13413.0	15390.0	17831.0	21399.0	27301.0	35254.0	45091.0	56810.0	69697.0	85346.0	103926.0	126858.0	157292.0	201318.0	268017.0	382569.0	618768.0	1326046.0	4452480.0
Sample_IPO3916_A6_R1	348.0	266.0	372.0	596.0	1022.0	1523.0	1941.0	2512.0	2989.0	3620.0	4177.0	4854.0	5331.0	5877.0	6415.0	7052.0	7967.0	9080.0	10710.0	12885.0	15490.0	19439.0	25855.0	34762.0	47055.0	62821.0	83321.0	110299.0	146549.0	199000.0	277902.0	406847.0	656861.0	1430346.0	3794642.0
Sample_IPO3916_A6_R2	30856.0	7098.0	6104.0	5235.0	4538.0	4247.0	4412.0	4489.0	4962.0	5178.0	5711.0	6268.0	7037.0	7861.0	8870.0	10315.0	11873.0	13832.0	16420.0	19677.0	24938.0	32382.0	41037.0	51084.0	63010.0	76778.0	94491.0	117842.0	149508.0	195309.0	265843.0	385062.0	620170.0	1275688.0	3822601.0
Sample_IPO3916_A7_R1	371.0	281.0	417.0	601.0	1047.0	1670.0	2105.0	2688.0	3272.0	3910.0	4632.0	5422.0	6059.0	6799.0	7715.0	8641.0	9568.0	10848.0	12472.0	14973.0	18044.0	22252.0	29263.0	38938.0	52541.0	69492.0	91487.0	120131.0	159938.0	215308.0	297006.0	432135.0	678699.0	1427233.0	4805087.0
Sample_IPO3916_A7_R2	26617.0	6868.0	5851.0	5201.0	4780.0	4509.0	4479.0	4817.0	5364.0	5854.0	6314.0	6927.0	7569.0	8233.0	9516.0	10671.0	12285.0	14325.0	16900.0	20242.0	25492.0	33426.0	42071.0	52736.0	65646.0	80039.0	97720.0	120229.0	152385.0	196712.0	265431.0	382928.0	612827.0	1287686.0	4958395.0
Sample_IPO3916_A8_R1	391.0	242.0	389.0	667.0	1096.0	1525.0	1939.0	2442.0	3000.0	3467.0	4054.0	4549.0	5019.0	5413.0	6095.0	6837.0	7552.0	8534.0	9951.0	11840.0	14364.0	18991.0	25640.0	35370.0	48240.0	64902.0	86085.0	112939.0	148488.0	200366.0	275295.0	402192.0	654307.0	1471264.0	5272101.0
Sample_IPO3916_A8_R2	32757.0	8768.0	7539.0	6707.0	5818.0	5442.0	5157.0	5514.0	5927.0	6185.0	6533.0	7039.0	7829.0	8813.0	9825.0	11345.0	12920.0	15206.0	17919.0	21555.0	27745.0	36978.0	47832.0	59942.0	73041.0	88405.0	107137.0	130079.0	161494.0	206123.0	272629.0	386059.0	616368.0	1320203.0	5172713.0
Sample_IPO3916_A9_R1	556.0	415.0	679.0	945.0	1502.0	2277.0	2813.0	3387.0	3985.0	4937.0	5776.0	6399.0	6985.0	7856.0	8684.0	9444.0	10658.0	12229.0	14204.0	16698.0	20766.0	26402.0	34897.0	48127.0	65672.0	88142.0	115850.0	153067.0	202631.0	272197.0	378576.0	556760.0	923790.0	2092745.0	6342601.0
Sample_IPO3916_A9_R2	33099.0	9006.0	7632.0	6769.0	6091.0	5732.0	5775.0	6293.0	6439.0	7027.0	7571.0	8178.0	8898.0	9852.0	11279.0	12807.0	14768.0	17247.0	20568.0	24616.0	31840.0	41777.0	54147.0	68166.0	84975.0	104745.0	129119.0	159792.0	202589.0	261802.0	353866.0	510484.0	832605.0	1813119.0	6563979.0
Sample_IPO3916_B10_R1	562.0	355.0	557.0	839.0	1451.0	2232.0	2598.0	3404.0	4122.0	4851.0	5620.0	6571.0	7299.0	8125.0	8922.0	10153.0	11111.0	12759.0	14933.0	17696.0	21665.0	27490.0	36206.0	49162.0	66583.0	88814.0	117756.0	154429.0	203890.0	271752.0	376741.0	549035.0	892332.0	2005414.0	6961167.0
Sample_IPO3916_B10_R2	40841.0	9642.0	8181.0	7267.0	6238.0	5871.0	5937.0	6291.0	6826.0	7514.0	8173.0	8797.0	9829.0	10792.0	12218.0	13680.0	15884.0	18222.0	21744.0	26003.0	33324.0	43566.0	55334.0	70372.0	86440.0	106669.0	130054.0	162039.0	203572.0	264105.0	353696.0	508095.0	822548.0	1781851.0	7074981.0
