Sample	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126
Sample_IPO3916_A6_R2_val_2	19094.0	18761.0	18768.0	19279.0	19652.0	20516.0	20268.0	21001.0	21716.0	22214.0	23241.0	24300.0	24881.0	26696.0	28140.0	30569.0	33227.0	36857.0	40297.0	47916.0	59838.0	79707.0	127596.0	221557.0	532100.0	1342961.0	3318757.0
Sample_IPO3916_A7_R1_val_1	22559.0	22287.0	20850.0	21963.0	21758.0	23740.0	22536.0	25400.0	23990.0	26325.0	26556.0	27142.0	26982.0	31662.0	30758.0	34814.0	36550.0	38321.0	41086.0	54789.0	60799.0	82818.0	124466.0	214101.0	540015.0	1473335.0	4246035.0
Sample_IPO3916_A7_R2_val_2	23160.0	21677.0	21079.0	21677.0	21771.0	24507.0	23091.0	24368.0	24055.0	25649.0	26636.0	28263.0	28085.0	30450.0	31868.0	34769.0	37688.0	41421.0	43075.0	53003.0	63949.0	86536.0	135474.0	230388.0	583251.0	1541844.0	4093903.0
Sample_IPO3916_A8_R1_val_1	16394.0	16323.0	16391.0	16770.0	17146.0	17480.0	17961.0	18166.0	18945.0	19810.0	20081.0	20954.0	21826.0	22860.0	24237.0	25646.0	28617.0	30958.0	35599.0	41924.0	52862.0	71820.0	118105.0	228544.0	612969.0	1643291.0	4716788.0
Sample_IPO3916_A8_R2_val_2	18000.0	18119.0	18214.0	18540.0	19039.0	19681.0	20028.0	20522.0	21396.0	22528.0	22973.0	24287.0	25582.0	26996.0	28689.0	30941.0	34682.0	38471.0	42802.0	50733.0	64067.0	86513.0	139386.0	262851.0	662008.0	1708087.0	4447332.0
Sample_IPO3916_A9_R1_val_1	21740.0	22109.0	22117.0	22944.0	23599.0	23647.0	24307.0	24979.0	25514.0	26493.0	27282.0	28559.0	29961.0	31385.0	33501.0	36023.0	38909.0	43116.0	50151.0	58578.0	74139.0	99789.0	165645.0	305657.0	792480.0	2118214.0	5998442.0
Sample_IPO3916_A9_R2_val_2	22963.0	23609.0	23639.0	24461.0	25192.0	25188.0	25916.0	26784.0	27695.0	28786.0	29567.0	31181.0	33217.0	34617.0	37644.0	40210.0	44465.0	49502.0	55432.0	65775.0	83144.0	113008.0	184775.0	335992.0	840587.0	2197152.0	5738779.0
Sample_IPO3916_B10_R1_val_1	28038.0	28905.0	28337.0	29351.0	29320.0	30782.0	30217.0	32062.0	32234.0	33781.0	34573.0	35854.0	36289.0	39741.0	40002.0	43369.0	46152.0	49854.0	54557.0	66072.0	77148.0	103505.0	162150.0	303835.0	800027.0	2100883.0	6055019.0
Sample_IPO3916_B10_R2_val_2	28874.0	29220.0	29444.0	29949.0	30395.0	31866.0	31558.0	32742.0	33670.0	34527.0	36097.0	37704.0	38831.0	41317.0	43126.0	46552.0	49681.0	55125.0	59370.0	70113.0	85279.0	114607.0	180353.0	334606.0	847234.0	2178791.0	5821026.0
Sample_IPO3916_B11_R1_val_1	14331.0	14426.0	14764.0	14998.0	15327.0	15829.0	16044.0	16541.0	17290.0	17661.0	18387.0	18959.0	20208.0	21477.0	22976.0	24247.0	27242.0	30371.0	34710.0	40537.0	50294.0	68500.0	110210.0	210365.0	540571.0	1451812.0	4318487.0
